"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","block","n_force_rep","phase","image","action","key_action_mapping","reward_probs","condition","reward","trial","subset","available_keys","attention_check"
"true","false","[]","[]","[]","preload","0","2.1.0","1512","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2.1.0","10718","9102","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.1.0","42205","31486","<h3 style=""font-size: 2em; "">Instruction 1/6</h3><p style=""text-align: left; line-height: 1.6em; font-size: 1.2em; max-width: 800px; margin: 0 auto; word-wrap: break-word;"">In this experiment, you will see a series of images on the screen.<br/><br/>You can respond to each image by pressing one of the following buttons on the keyboard:</p><div style=""display: flex; justify-content: center; gap: 40px; margin: 20px 0;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        J<br>
      </div></div></div></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","57363","15157","<h3 style=""font-size: 2em; "">Instruction 2/6</h3><p style=""text-align: left; line-height: 1.6em; font-size: 1.2em; max-width: 800px; margin: 0 auto; word-wrap: break-word;"">Pressing a button in response to an image can give you <span style=""color:red;"">0</span> or <span style=""color:green;"">+1</span> points<br/>Your goal is to <b>collect as many points as possible!</b><br/><br/>How often you receive <span style=""color:red;"">0</span> or <span style=""color:green;"">+1</span> points <b>depends on each button and each image</b>: some will give you points more often, others rarely. <b>Try to figure it out!</b><br/></p></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.1.0","67485","10121","<h3 style=""font-size: 2em; "">Instruction 3/6</h3><p style=""text-align: left; line-height: 1.6em; font-size: 1.2em; max-width: 800px; margin: 0 auto; word-wrap: break-word;"">When the image is shown, you have <b>two seconds</b> to respond - make sure to answer in that time, or the trial is <b>lost!</b><br/>You will see a + sign between each trial. Keep your eyes on it to be ready to focus on the next image!<br/></p></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.1.0","78218","10732","<h3 style=""font-size: 2em; "">Instruction 4/6</h3><p style=""text-align: left; line-height: 1.6em; font-size: 1.2em; max-width: 800px; margin: 0 auto; word-wrap: break-word;"">For each image you will learn all four buttons on the keyboard.<br/><br/>However, you will not always be allowed to press all four buttons. You will see which are available under the image.<br/>For example, in this trial, only F and H are available - make sure you choose between <b>those two only</b>.<br/><div style=""display: flex; justify-content: center; gap: 40px; margin: 20px 0;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div></p></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.1.0","88421","10202","<h3 style=""font-size: 2em; "">Instruction 5/6</h3><p style=""text-align: left; line-height: 1.6em; font-size: 1.2em; max-width: 800px; margin: 0 auto; word-wrap: break-word;"">There will be 12 blocks, each with just one image to learn about. You can take short breaks between each block.<br/><br/>Each block will have just one image, but to make sure you are paying attention, we will also show you occasionally an instruction to <b>press a specific button</b>, like shown below.<br/>Make sure you <b>press the correct button</b>.<br/></p></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","2.1.0","102859","14437","<h3 style=""font-size: 2em; "">Instruction 6/6</h3><p style=""text-align: left; line-height: 1.6em; font-size: 1.2em; max-width: 800px; margin: 0 auto; word-wrap: break-word;"">You will now start the main experiment.<br/>Before you start, please <b>position your dominant hand with one finger on each button</b>, and keep it there for the block duration!<br/></p></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2.1.0","106518","3659","<h3 style=""font-size: 2em; "">Image 1</h3><p font-size: 1.2em;"">For the next trials, only single actions will be available.</p></div><p class=""continue"" style=""font-size: 1.2em; "">[Press SPACE to continue]</p>"," ","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","2.1.0","107020","null","
    <div style=""text-align: center;"">
      <img src=""static/images/fix_cross.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        J<br>
      </div></div></div>","null","","","","","","","","","","","","",""
